mode,lambda_q,lambda_sparse,lambda_binary,lambda_coverage,valid_acc,valid_auc,valid_f1,valid_rmse,valid_bce,test_acc,test_auc,test_f1,test_rmse,test_bce,optimistic_acc,optimistic_auc,optimistic_rmse,q_hat_acc_vs_true,q_hat_precision_vs_true,q_hat_recall_vs_true,q_hat_f1_vs_true,q_hat_auc_vs_true,q_hat_hamming_vs_true,q_change_from_expert,q_change_0_to_1,q_change_1_to_0,q_density,best_epoch,status,result_dir,metrics_path
lq_0p2_ls_0_lb_0p3,0.2,0.0,0.3,0.0,0.7469707769066286,0.8354907783028254,0.722584006251628,0.4071622535727372,0.49024036471561555,0.7371109527203611,0.8264546419993355,0.7023136938391176,0.41198731473425304,0.4982057757030036,0.7469707769066286,0.8354907783028254,0.4071622535727372,0.6863636363636364,0.49107142857142855,0.8208955223880597,0.6145251396648045,0.8188469417617794,0.31363636363636366,69,57,12,0.509090909090909,9,success,Q_GNCDM\results\math1_lambda_grid\lq_0p2_ls_0_lb_0p3,Q_GNCDM\results\math1_lambda_grid\lq_0p2_ls_0_lb_0p3\metrics.json
lq_0p2_ls_0_lb_0p5,0.2,0.0,0.5,0.0,0.7467331907816583,0.8339446997768332,0.7228289131565263,0.4081479157050996,0.4939019673545954,0.7368139700641483,0.824645151286731,0.7031951235849688,0.41332048681966543,0.5018853838919705,0.7467331907816583,0.8339446997768332,0.4081479157050996,0.6954545454545454,0.5,0.7611940298507462,0.6035502958579881,0.8360159984391766,0.30454545454545456,67,51,16,0.4636363636363636,9,success,Q_GNCDM\results\math1_lambda_grid\lq_0p2_ls_0_lb_0p5,Q_GNCDM\results\math1_lambda_grid\lq_0p2_ls_0_lb_0p5\metrics.json
lq_0p2_ls_0_lb_0p8,0.2,0.0,0.8,0.0,0.7486338797814208,0.8360867455198542,0.7364881693648817,0.40580206812863745,0.49201841162854243,0.7423378474697078,0.8278794903752253,0.7214946070878274,0.4091382203704533,0.4965875472227306,0.7486338797814208,0.8360867455198542,0.40580206812863745,0.7954545454545454,0.6309523809523809,0.7910447761194029,0.7019867549668874,0.9159106428641108,0.20454545454545456,45,31,14,0.38181818181818183,3,success,Q_GNCDM\results\math1_lambda_grid\lq_0p2_ls_0_lb_0p8,Q_GNCDM\results\math1_lambda_grid\lq_0p2_ls_0_lb_0p8\metrics.json
lq_0p2_ls_0p01_lb_0p3,0.2,0.01,0.3,0.0,0.7460204324067474,0.8350735412167921,0.7243424445590511,0.40753661058158747,0.4908804249431851,0.7366357804704206,0.8255099592649576,0.7056558682952735,0.41333062810462734,0.5015718552870284,0.7460204324067474,0.8350735412167921,0.40753661058158747,0.7909090909090909,0.6296296296296297,0.7611940298507462,0.6891891891891891,0.8290898448931813,0.20909090909090908,46,30,16,0.36818181818181817,11,success,Q_GNCDM\results\math1_lambda_grid\lq_0p2_ls_0p01_lb_0p3,Q_GNCDM\results\math1_lambda_grid\lq_0p2_ls_0p01_lb_0p3\metrics.json
lq_0p2_ls_0p01_lb_0p5,0.2,0.01,0.5,0.0,0.7423378474697078,0.8352171656854614,0.7110696683095777,0.4067564502717328,0.4897580920611801,0.7352102637205987,0.8253715703465159,0.6935661259279626,0.4123209729897237,0.4995254205585134,0.7423378474697078,0.8352171656854614,0.4067564502717328,0.5727272727272728,0.3937007874015748,0.746268656716418,0.5154639175257731,0.6564237635352649,0.42727272727272725,94,77,17,0.5772727272727273,17,success,Q_GNCDM\results\math1_lambda_grid\lq_0p2_ls_0p01_lb_0p5,Q_GNCDM\results\math1_lambda_grid\lq_0p2_ls_0p01_lb_0p5\metrics.json
lq_0p2_ls_0p01_lb_0p8,0.2,0.01,0.8,0.0,0.7451888809693514,0.8341083642042084,0.7235468488207243,0.40949250524802794,0.4979193999231466,0.7359824186267522,0.8245994332611281,0.7041991082717775,0.4150455600387249,0.507237128454553,0.7451888809693514,0.8341083642042084,0.40949250524802794,0.8590909090909091,0.725,0.8656716417910447,0.7891156462585034,0.9386401326699834,0.1409090909090909,31,22,9,0.36363636363636365,5,success,Q_GNCDM\results\math1_lambda_grid\lq_0p2_ls_0p01_lb_0p8,Q_GNCDM\results\math1_lambda_grid\lq_0p2_ls_0p01_lb_0p8\metrics.json
lq_0p2_ls_0p05_lb_0p3,0.2,0.05,0.3,0.0,0.7469707769066286,0.8358350882352805,0.7203256302521008,0.4072414271607211,0.49127020198145,0.7367545735329056,0.8269000226575387,0.699199131261029,0.41192584917033853,0.49896889916167597,0.7469707769066286,0.8358350882352805,0.4072414271607211,0.7863636363636364,0.6785714285714286,0.5671641791044776,0.6178861788617886,0.785581894449322,0.21363636363636362,47,18,29,0.2545454545454545,6,success,Q_GNCDM\results\math1_lambda_grid\lq_0p2_ls_0p05_lb_0p3,Q_GNCDM\results\math1_lambda_grid\lq_0p2_ls_0p05_lb_0p3\metrics.json
lq_0p2_ls_0p05_lb_0p5,0.2,0.05,0.5,0.0,0.744832501781896,0.8330587677935394,0.7168468230951753,0.41032753178502057,0.4991301889729678,0.7380019006889997,0.8240482317298898,0.699625468164794,0.41482128570221255,0.5064328036457094,0.744832501781896,0.8330587677935394,0.41032753178502057,0.8454545454545455,0.8,0.6567164179104478,0.7213114754098361,0.8674275680421422,0.15454545454545454,34,11,23,0.25,6,success,Q_GNCDM\results\math1_lambda_grid\lq_0p2_ls_0p05_lb_0p5,Q_GNCDM\results\math1_lambda_grid\lq_0p2_ls_0p05_lb_0p5\metrics.json
lq_0p2_ls_0p05_lb_0p8,0.2,0.05,0.8,0.0,0.7453076740318365,0.8371592120688465,0.7311935807422267,0.4064804364997005,0.49655301343108993,0.7411499168448563,0.8317932739923808,0.7187298309022847,0.4070972398575204,0.496102063556388,0.7453076740318365,0.8371592120688465,0.4064804364997005,0.9681818181818181,0.9838709677419355,0.9104477611940298,0.9457364341085271,0.9984391766656912,0.031818181818181815,7,1,6,0.2818181818181818,4,success,Q_GNCDM\results\math1_lambda_grid\lq_0p2_ls_0p05_lb_0p8,Q_GNCDM\results\math1_lambda_grid\lq_0p2_ls_0p05_lb_0p8\metrics.json
lq_0p2_ls_0p1_lb_0p3,0.2,0.1,0.3,0.0,0.7470895699691138,0.8363523250011321,0.7222439660795825,0.4070344490382116,0.4901114535332338,0.7377049180327869,0.8270519081783894,0.7019438444924406,0.41203609095993543,0.4983514883745247,0.7470895699691138,0.8363523250011321,0.4070344490382116,0.7954545454545454,0.7619047619047619,0.47761194029850745,0.5871559633027523,0.8211881767632426,0.20454545454545456,45,10,35,0.19090909090909092,6,success,Q_GNCDM\results\math1_lambda_grid\lq_0p2_ls_0p1_lb_0p3,Q_GNCDM\results\math1_lambda_grid\lq_0p2_ls_0p1_lb_0p3\metrics.json
